设备名称,管理IP,端口,物理状态,协议状态,端口UP时间,端口DOWN时间,速率,双工,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/38,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/39,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/40,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/41,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/42,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/43,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/44,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/45,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/46,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/47,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/48,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,XGigabitEthernet0/0/1,DOWN,DOWN,-,2024/2/26 2:23,10000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,XGigabitEthernet0/0/2,DOWN,DOWN,-,2024/2/26 2:23,10000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,XGigabitEthernet0/0/3,UP,UP,2024-04-15 20:30:17 UTC+08:00,2024-04-15 20:29:09 UTC+08:00,10000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,XGigabitEthernet0/0/4,UP,UP,2024-04-15 20:38:37 UTC+08:00,2024-04-15 20:35:25 UTC+08:00,10000,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/1,DOWN,DOWN,2024-03-14 15:21:14 UTC+08:00,2024-03-14 16:17:37 UTC+08:00,1000,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/2,DOWN,DOWN,2024-03-14 15:33:57 UTC+08:00,2024-03-14 16:26:14 UTC+08:00,1000,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/3,DOWN,DOWN,2024-03-14 15:10:09 UTC+08:00,2024-03-14 16:28:12 UTC+08:00,1000,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/4,DOWN,DOWN,2024-03-15 09:12:21 UTC+08:00,2024-03-15 09:51:42 UTC+08:00,1000,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/5,DOWN,DOWN,2024-03-18 09:31:54 UTC+08:00,2024-03-18 09:35:54 UTC+08:00,1000,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/6,UP,UP,2024-05-15 07:53:28 UTC+08:00,2024-05-15 07:53:23 UTC+08:00,1000,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/7,UP,UP,2024-05-15 07:39:27 UTC+08:00,2024-05-15 07:39:21 UTC+08:00,1000,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/8,UP,UP,2024-05-15 16:33:38 UTC+08:00,2024-05-15 16:33:33 UTC+08:00,10,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/9,DOWN,DOWN,2024-04-22 10:06:50 UTC+08:00,2024-04-22 10:07:05 UTC+08:00,1000,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/10,DOWN,DOWN,2024-04-22 10:25:10 UTC+08:00,2024-04-22 10:25:34 UTC+08:00,1000,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/11,DOWN,DOWN,-,2024/1/5 3:28,1000,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/12,DOWN,DOWN,-,2024/1/5 3:28,1000,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/13,DOWN,DOWN,-,2024/1/5 3:28,1000,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/14,DOWN,DOWN,2024-04-08 14:14:28 UTC+08:00,2024-04-08 16:06:55 UTC+08:00,1000,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/15,DOWN,DOWN,-,2024/1/5 3:28,1000,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/16,DOWN,DOWN,-,2024/1/5 3:28,1000,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/17,DOWN,DOWN,2024-04-08 14:12:36 UTC+08:00,2024-04-10 10:54:00 UTC+08:00,1000,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/18,DOWN,DOWN,2024-03-15 10:16:56 UTC+08:00,2024-03-15 10:36:40 UTC+08:00,1000,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/19,UP,UP,2024-05-08 19:25:33 UTC+08:00,2024-05-08 19:25:27 UTC+08:00,1000,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/20,UP,UP,2024-05-02 07:39:07 UTC+08:00,2024-05-02 07:39:01 UTC+08:00,1000,FULL,,,,
