
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/18      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/19      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/20      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/21      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/22      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/23      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/24      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/25      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/26      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/27      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/28      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/29      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/30      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/31      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/32      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/33      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/34      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/35      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/36      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/37      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/38      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/39      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/40      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/41      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/42      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/43      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/44      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/45      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/46      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/47      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/48      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,XGigabitEthernet0/0/3      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,XGigabitEthernet0/0/4      ,-,0,-                               ,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,XGigabitEthernet1/0/3      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,XGigabitEthernet1/0/4      ,-,0,-                               ,
